Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
434,Álex López (http://www.capology.com/soccer/player/alex-lopez/salary-profile/),"$6,655",CM,21,Reserve,4,"$346,068","$346,068","$346,068","$346,068",$0,$0,$0,Espanyol
435,Diego Lainez (http://www.capology.com/soccer/player/diego-lainez/salary-profile/),"$6,590",LW,18,Starter,6,"$342,675","$342,675","$342,675","$342,675","$342,675","$342,675",$0,Real Betis
436,Lucas Olaza (http://www.capology.com/soccer/player/lucas-olaza/salary-profile/),"$6,459",LB,24,Reserve,2,"$335,889","$335,889",$0,$0,$0,$0,$0,Celta Vigo
437,Antonio Sivera (http://www.capology.com/soccer/player/antonio-sivera/salary-profile/),"$6,351",GK,22,Reserve,3,"$330,234","$330,234","$330,234",$0,$0,$0,$0,Alaves
438,Aleix García (http://www.capology.com/soccer/player/aleix-garcia/salary-profile/),"$6,307",DM,21,Reserve,1,"$327,973",$0,$0,$0,$0,$0,$0,Girona
439,Alberto García (http://www.capology.com/soccer/player/alberto-garcia/salary-profile/),"$6,242",GK,34,Starter,3,"$324,580","$324,580","$324,580",$0,$0,$0,$0,Rayo Vallecano
440,Enric Gallego (http://www.capology.com/soccer/player/enric-gallego/salary-profile/),"$5,916",CF,32,Starter,4,"$307,616","$307,616","$307,616","$307,616",$0,$0,$0,Huesca
441,Aleksandar Jovanovic (http://www.capology.com/soccer/player/aleksandar-jovanovic/salary-profile/),"$5,763",GK,26,Reserve,3,"$299,699","$299,699","$299,699",$0,$0,$0,$0,Huesca
442,Martín Merquelanz (http://www.capology.com/soccer/player/martin-merquelanz/salary-profile/),"$5,720",LW,23,Reserve,2,"$297,437","$297,437",$0,$0,$0,$0,$0,Real Sociedad
443,Javi Puado (http://www.capology.com/soccer/player/javi-puado/salary-profile/),"$5,568",LW,20,Reserve,4,"$289,521","$289,521","$289,521","$289,521",$0,$0,$0,Espanyol
444,Mathías Olivera (http://www.capology.com/soccer/player/mathias-olivera/salary-profile/),"$5,568",LB,21,Reserve,5,"$289,521","$289,521","$289,521","$289,521","$289,521",$0,$0,Getafe
445,Roberto Santamaría (http://www.capology.com/soccer/player/roberto-santamaria/salary-profile/),"$5,350",GK,34,Starter,1,"$278,211",$0,$0,$0,$0,$0,$0,Huesca
446,Alfa Semedo (http://www.capology.com/soccer/player/alfa-semedo/salary-profile/),"$5,111",DM,21,Reserve,1,"$265,771",$0,$0,$0,$0,$0,$0,Espanyol
447,Jorge Pulido (http://www.capology.com/soccer/player/jorge-pulido/salary-profile/),"$5,089",CB,28,Starter,4,"$264,640","$264,640","$264,640","$264,640",$0,$0,$0,Huesca
448,Anuar (http://www.capology.com/soccer/player/anuar/salary-profile/),"$5,002",CM,24,Reserve,3,"$260,116","$260,116","$260,116",$0,$0,$0,$0,Valladolid
449,Ezequiel Ávila (http://www.capology.com/soccer/player/ezequiel-avila/salary-profile/),"$4,719",LW,25,Starter,1,"$245,414",$0,$0,$0,$0,$0,$0,Huesca
450,Wilfrid Kaptoum (http://www.capology.com/soccer/player/wilfrid-kaptoum/salary-profile/),"$4,546",CM,22,Starter,2,"$236,366","$236,366",$0,$0,$0,$0,$0,Real Betis
451,Marc Cucurella (http://www.capology.com/soccer/player/marc-cucurella/salary-profile/),"$4,502",LB,20,Starter,1,"$234,105",$0,$0,$0,$0,$0,$0,Eibar
452,Emerson de Souza Junior (http://www.capology.com/soccer/player/emerson-de-souza-junior/salary-profile/),"$4,263",RB,20,Reserve,1,"$221,664",$0,$0,$0,$0,$0,$0,Real Betis
453,Gorka Guruzeta (http://www.capology.com/soccer/player/gorka-guruzeta/salary-profile/),"$4,263",CF,22,Reserve,1,"$221,664",$0,$0,$0,$0,$0,$0,Athletic Club
454,Stole Dimitrievski (http://www.capology.com/soccer/player/stole-dimitrievski/salary-profile/),"$4,176",GK,25,Reserve,4,"$217,140","$217,140","$217,140","$217,140",$0,$0,$0,Rayo Vallecano
455,Rubén Yáñez (http://www.capology.com/soccer/player/ruben-yanez/salary-profile/),"$3,828",GK,25,Reserve,2,"$199,045","$199,045",$0,$0,$0,$0,$0,Getafe
456,Marc Cardona (http://www.capology.com/soccer/player/marc-cardona/salary-profile/),"$3,741",CF,23,Reserve,1,"$194,522",$0,$0,$0,$0,$0,$0,Eibar
457,Juan Soriano (http://www.capology.com/soccer/player/juan-soriano/salary-profile/),"$3,610",GK,21,Reserve,4,"$187,736","$187,736","$187,736","$187,736",$0,$0,$0,Sevilla
458,Peru Nolaskoain (http://www.capology.com/soccer/player/peru-nolaskoain/salary-profile/),"$3,545",CB,20,Reserve,6,"$184,343","$184,343","$184,343","$184,343","$184,343","$184,343",$0,Athletic Club
459,Anaitz Arbilla (http://www.capology.com/soccer/player/anaitz-arbilla/salary-profile/),"$3,241",CB,31,Starter,3,"$168,510","$168,510","$168,510",$0,$0,$0,$0,Eibar
460,Javi Moyano (http://www.capology.com/soccer/player/javi-moyano/salary-profile/),"$3,241",RB,33,Reserve,2,"$168,510","$168,510",$0,$0,$0,$0,$0,Valladolid
461,Álex Blanco (http://www.capology.com/soccer/player/alex-blanco/salary-profile/),"$2,980",LW,20,Reserve,1,"$154,939",$0,$0,$0,$0,$0,$0,Alaves
462,Lluis López (http://www.capology.com/soccer/player/lluis-lopez/salary-profile/),"$2,523",CB,22,Reserve,4,"$131,189","$131,189","$131,189","$131,189",$0,$0,$0,Espanyol
463,Pedro Porro (http://www.capology.com/soccer/player/pedro-porro/salary-profile/),"$2,392",RB,19,Starter,5,"$124,403","$124,403","$124,403","$124,403","$124,403",$0,$0,Girona
464,Luca Zidane (http://www.capology.com/soccer/player/luca-zidane/salary-profile/),"$2,218",GK,20,Reserve,1,"$115,356",$0,$0,$0,$0,$0,$0,Real Madrid
465,Juanjo Camacho (http://www.capology.com/soccer/player/juanjo-camacho/salary-profile/),"$2,164",AM,38,Reserve,1,"$112,529",$0,$0,$0,$0,$0,$0,Huesca
466,Robin Le Normand (http://www.capology.com/soccer/player/robin-le-normand/salary-profile/),"$1,696",CB,22,Reserve,4,"$88,213","$88,213","$88,213","$88,213",$0,$0,$0,Real Sociedad
467,Óscar Rodríguez (http://www.capology.com/soccer/player/oscar-rodriguez/salary-profile/),"$1,620",AM,20,Starter,1,"$84,255",$0,$0,$0,$0,$0,$0,Leganés
468,Valery Fernández (http://www.capology.com/soccer/player/valery-fernandez/salary-profile/),"$1,479",RW,19,Reserve,5,"$76,904","$76,904","$76,904","$76,904","$76,904",$0,$0,Girona
469,Sergio Akieme (http://www.capology.com/soccer/player/sergio-akieme/salary-profile/),"$1,087",LB,21,Reserve,2,"$56,547","$56,547",$0,$0,$0,$0,$0,Rayo Vallecano
470,Adrián Diéguez (http://www.capology.com/soccer/player/adrian-dieguez/salary-profile/),"$1,011",CB,23,Starter,1,"$52,589",$0,$0,$0,$0,$0,$0,Huesca
471,Kang-in Lee (http://www.capology.com/soccer/player/kang-in-lee/salary-profile/),$935,AM,18,Reserve,4,"$48,630","$48,630","$48,630","$48,630",$0,$0,$0,Valencia
472,Borja Garcés (http://www.capology.com/soccer/player/borja-garces/salary-profile/),$587,CF,19,Reserve,4,"$30,535","$30,535","$30,535","$30,535",$0,$0,$0,Atlético Madrid
473,Samuel Chukwueze (http://www.capology.com/soccer/player/samuel-chukwueze/salary-profile/),$587,RW,19,Reserve,5,"$30,535","$30,535","$30,535","$30,535","$30,535",$0,$0,Villarreal
474,Francisco Montero (http://www.capology.com/soccer/player/francisco-montero/salary-profile/),$565,CB,20,Reserve,1,"$29,404",$0,$0,$0,$0,$0,$0,Atlético Madrid
475,Javi Varas (http://www.capology.com/soccer/player/javi-varas/salary-profile/),$0,GK,36,Reserve,1,$0,$0,$0,$0,$0,$0,$0,Huesca
476,Nehuén Pérez (http://www.capology.com/soccer/player/nehuen-perez/salary-profile/),$0,CB,18,Reserve,6,$0,$0,$0,$0,$0,$0,$0,Atlético Madrid
